d1,d2,d3,d4,d5,y
29.09,29.18,28.96,28.69,28.5,28.7
29.18,28.96,28.69,28.5,28.7,28.69
28.96,28.69,28.5,28.7,28.69,28.84
28.69,28.5,28.7,28.69,28.84,29.02
28.5,28.7,28.69,28.84,29.02,29.01
28.7,28.69,28.84,29.02,29.01,29.1
28.69,28.84,29.02,29.01,29.1,29.16
28.84,29.02,29.01,29.1,29.16,29.19
29.02,29.01,29.1,29.16,29.19,27.7
29.01,29.1,29.16,29.19,27.7,27.92
29.1,29.16,29.19,27.7,27.92,27.74
29.16,29.19,27.7,27.92,27.74,28.12
29.19,27.7,27.92,27.74,28.12,28.08
27.7,27.92,27.74,28.12,28.08,28.44
27.92,27.74,28.12,28.08,28.44,28.23
27.74,28.12,28.08,28.44,28.23,28.14
28.12,28.08,28.44,28.23,28.14,28.34
28.08,28.44,28.23,28.14,28.34,28.56
28.44,28.23,28.14,28.34,28.56,28.64
28.23,28.14,28.34,28.56,28.64,28.79
28.14,28.34,28.56,28.64,28.79,28.8
28.34,28.56,28.64,28.79,28.8,28.8
28.56,28.64,28.79,28.8,28.8,28.96
28.64,28.79,28.8,28.8,28.96,28.93
28.79,28.8,28.8,28.96,28.93,28.9
28.8,28.8,28.96,28.93,28.9,28.7
28.8,28.96,28.93,28.9,28.7,28.67
28.96,28.93,28.9,28.7,28.67,28.3
28.93,28.9,28.7,28.67,28.3,27.9
28.9,28.7,28.67,28.3,27.9,27.75
28.7,28.67,28.3,27.9,27.75,27.93
28.67,28.3,27.9,27.75,27.93,27.86
28.3,27.9,27.75,27.93,27.86,28.1
27.9,27.75,27.93,27.86,28.1,27.88
27.75,27.93,27.86,28.1,27.88,27.25
27.93,27.86,28.1,27.88,27.25,27.25
27.86,28.1,27.88,27.25,27.25,26.97
28.1,27.88,27.25,27.25,26.97,25.93
27.88,27.25,27.25,26.97,25.93,25.29
27.25,27.25,26.97,25.93,25.29,24.41
27.25,26.97,25.93,25.29,24.41,23.67
26.97,25.93,25.29,24.41,23.67,23.29
25.93,25.29,24.41,23.67,23.29,21.85
25.29,24.41,23.67,23.29,21.85,23.28
24.41,23.67,23.29,21.85,23.28,22.49
23.67,23.29,21.85,23.28,22.49,23.38
23.29,21.85,23.28,22.49,23.38,24.09
21.85,23.28,22.49,23.38,24.09,24.26
23.28,22.49,23.38,24.09,24.26,24.35
22.49,23.38,24.09,24.26,24.35,24.32
23.38,24.09,24.26,24.35,24.32,24.49
24.09,24.26,24.35,24.32,24.49,24.52
24.26,24.35,24.32,24.49,24.52,24.84
24.35,24.32,24.49,24.52,24.84,25.22
24.32,24.49,24.52,24.84,25.22,25.77
24.49,24.52,24.84,25.22,25.77,25.65
24.52,24.84,25.22,25.77,25.65,25.73
24.84,25.22,25.77,25.65,25.73,25.68
25.22,25.77,25.65,25.73,25.68,26.05
25.77,25.65,25.73,25.68,26.05,26.47
25.65,25.73,25.68,26.05,26.47,26.44

